,labels,lenths,contents
0,5,4,买 两个 正品 喜欢
1,5,6,京东 快递 次日 达 真 ！
2,5,5,灵敏 一段时间 评价 手机 不错
3,5,13,送给 老婆 礼物 物流 超快 手机 正品 下次 介绍 朋友 购买 款 手机
4,5,4,快递 小哥 服务态度 谢谢
5,5,13,7.7 买 毛病 不算 果粉 手机 坏 买来 顺手 好评 n 先来 好评
6,1,2,不太好 想
7,5,8,忠实 果粉 追到 一如既往 不卡 相比 耗电量 太快
8,1,17,京东 包装 手机 类产品 简陋 ？ 防 摔 保护措施 ？ 手机 放在 纸盒 里 配送 ？ ！
9,3,14,有时候 信号 特别 不好 流畅 度 倒 流量 打开 软件 网速 特别 慢 ！
10,1,15,MD 买 完 降价 600 超 星期 保价 京东 玩 ？ 消费者 ？ 太坑 ！
11,3,1,行
12,3,15,买 评价 有好有坏 下定决心 买 第一次 开机 几个 软件 闪退 情况 几个 软件 卸载 希望
13,5,13,京东 直营店 东西 正品 第一次 买 苹果 失望 颜色 很正 喜欢 颜色 果粉
14,2,31,刚买 完 几天 降价 先 降价 100 降价 00 醉 申请 价格 保护 新 订单 提交 晚 手机 收到 外观 没什么 新 手机 闪退 ？ ？ 还会卡 ？ ？ 满意 购物
15,3,35,19 号 拆 机子 21 号 到货 京东 翻新 说 平台 进货 卖 赚钱 亏 京东 买 coach 买 电脑 说 京东 买 不用 担心 朋友 帮 我查 序列号 再见 京东 买 剩下 三分 苹果
16,3,18,正品 ！ 连个 赠品 ！ 发票 ！ ！ 手机 ！ 卖得 贵 一百块 ！ 越来越 不靠 谱 ！
17,5,19,不错 亮色 太小 指纹 买 很配 手机 送 膜 不行 ！ 希望 改进 送 全屏 钢化 膜 ！ ！
18,1,14,假货 慢 卡得 反正 买 假 翻新 机 真假 掺着 卖 京东 假货 ！
19,5,3,还好 这么久 不适
20,3,10,手机 还好 n 只想 吐 槽 ～ 迅雷 ！ ！
21,2,18,卡 要死 大王 卡 华为 流量 视频 流畅 ？ 老子 苹果 卡 要死 搞 老子 不好意思 说 苹果
22,5,6,顺手 好用 好评 京东 物流 ！
23,1,10,新手机 拿到 手 App 下载 微信 获取 云彩 加 箭头
24,1,36,降价 太快 保价 手机 行 未 担心 电池 6s 买 两年 途中 换 原装 电池 要充 三次 电 要逆天 手机 确实 不卡 无奈 要换 苹果 电池 耐用 太 不爽 降价 降价 降 ！ 美 几天 ！
25,1,10,满意 刚买 新 机器 充电器 坏 没法 充电 换 充电
26,1,10,说心里话 手机 真 差劲 不值 价格 京东 客服 太 差
27,1,8,充电器 线用 一个多 星期 充 电 烧 黑
28,1,45,7p 8p 价格 高 没买 68 活动 买 收到 货 发现 手机 打游戏 噪音 很大 mac 7p 电流 噪音 zizizi 问过 客服 说 关机 好奇 手机 关机 解决 ？ 开关 无数次 闪退 卡屏 常见 比得上 十年 前 互联网 刚通 卡 倒霉 懒得 退换 不想 找麻烦
29,3,42,没满星 原因 是因为 小小的 系统 bug 京东 苹果 人员 解答 百度 告诉 答案 一代 玻璃 算 满意 过渡 卡手 大小 没太 ip67 明天 试水 再评 照片 ios 发 朋友圈 系统 流畅 度 666 cpu 质上 变化 品控 拍照 性能 大样 i7 s8
30,5,6,手机 背部 少量 发热 算不算 比较满意
31,1,23,iso 烂 系统 连着 wifi app 连不上 百度 地图 打不开 坑 坑 系统 打开 蜂窝 网络 蜂窝 数据 打不开 我能 退货 ？ 闪退
32,1,40,贵 产品 块 比不上 刚刚 天 故障 更换 买 商品 两次 京东 购买 苹果 手机 第一次 运气 第二次 就让 真的 市民 说 京东 只能 销售 故障 机器 发现 早晚 差评 ！ 喊 找 浪费 顾客 时间 ！ 投诉 满意 ！
33,1,21,买 一周 降价 200 找 客服 客服 回复 ： 尊敬 顾客 您好 查看 选购 秒杀 商品 秒杀 商品 价保 请 理解
34,1,4,客服 服务态度 太 差
35,3,9,苹果 降价 死 买 几天 降 几百 心脏 疼
36,5,33,刚到 第一次 网上 买手机 挺 忐忑 京东 值得 信赖 手机 外观 瑕疵 序列号 核对 正品 买 128g 运行 下载 软件 比较慢 无线 打电话 试 通话 杂音 屏幕 挺 没见 异常 过段时间 追评 满意
37,5,7,手感 很棒 信赖 京东 京东 给力 ？
38,1,6,手机信号 差 屏幕 边框 裂缝 耗电
39,2,5,号 ？ ？ ？ 好烦
40,4,9,收到 包装 简单 手机 快递 小哥 棒 再来 追平
41,3,22,一段时间 京东 降价 降得 前手 买 完后 手 直降 1000 元 申请 保价 不好 真不知道 8p 不好 降价 卖 X 降过 价
42,3,23,手机 满意 不到 星期 降价 两百 不让 保价 原因 是因为 秒杀 商品 秒 杀价 降 一百 贵 保价 就别 承诺 给出 不合理 理由
43,1,13,买 十几天 降价 投诉 效率 慢 要死 一会儿 换人 一会儿 换人 重复 坑人
44,3,6,前天 刚到 降 块钱 差距 太大
45,1,4,刚买 降价 保价 差评
46,2,10,外观 一点点 瑕疵 边框 一点 磨黑 着急 没退 暂时 发现
47,3,24,手机 太重 习惯 电池 续航 能力 只能 说 还行 期望值 差别 一点 本来 滑 解锁 图案 时 手速 快点 一条 直线 跳 标记 不上
48,3,5,激活 几次 成功 送货 速度慢
49,5,15,上午 下单 当天 送到 东西 质量 还来 买 速度 块 外观 万年 手感 铝合金 一点
50,3,6,听筒 声音 特别 怎么回事 想换 怕麻烦
51,5,5,快递 小哥 速度 很快 ！
52,5,11,不错 开 习惯 慢慢 顺利 两个 月 评论 ！ 值得 拥有
53,1,5,垃圾 ！ 买 解决 ！
54,1,20,上个月 买 手机 一个月 评价 说实话 手机 挺卡 挺慢 为啥 触屏 偶然间 点着 不动 花 6000 买个 这破 玩意 值得
55,1,10,没法 下载 软件 账号 登录 不上 申请 换货 换货 评价
56,1,10,手机 真心 垃圾 不到 一个月 黑屏 ！ 想 问 ？
57,5,7,信赖 京东 错 兄弟姐妹 京东 买 没错
58,5,43,习惯 京东 买 电子产品 仓库 上午 下单 下午 收货 媳妇 买 例外 选择 京东 新机 正品 玻璃 后盖 金属 边框 之间 缝隙 均匀 iOS 系统 做 评价 64G 安装 完 常用软件 40G 空余 n 价格 变 客服 申请 保价 返 豆豆 谢谢 客服
59,3,18,袋子 装太 hellip hellip 6888 买 第二天 6488 双十 6688 hellip hellip 磋商 补 200 块 算 满意
60,1,1,问
61,5,10,不错 不错 不错 终于 降价 特别 好用 朋友 下手 一台
62,3,9,手机 送 女朋友 买 降 好几百 特不 舒服 中评
63,3,12,外观 买 不到 一个月 闪退 卡死 情况 hellip 像素 渣 失望 hellip
64,1,7,坑 购物 买 天 掉 两次 价格
65,1,4,死 磕 二首 东
66,3,19,包装 真的 摔坏 ？ 盒子 外面 快递 袋子 装着 防 摔 保护 ？ 打开 发现 卡针 换卡 ？ ？
67,3,5,买 半个 月 降 100
68,5,5,买来 儿子 说 挺 高大
69,3,12,东西 买 两个 为啥 两个 机子 连结 蓝牙 设备 ？ 翻新 机
70,1,27,偶然 查 208 年 月 号 下单 购入 官网查 机器 保修 截止 日期 208 年 月 号 买回来 时 系统 系列 正式版 发布 时间 207 年 月份
71,1,12,收到 装 发现 屏幕 黑快 ？ ？ ？ ？ 问 客服 没回
72,1,19,翻新 机 水货 买 苹果 官方 店 检测 购买 applecare 店员 Apple 官方 京东 店 咨询 店员 得不到 解答
73,1,5,卡 垃圾 刚买 完 降价
74,1,8,一个月 黑屏 客服 真心 醉 几千 买 东西
75,2,14,收到 货 翻新 机 机子 污渍 保修期 超过 一年 暂时 看不出 漏洞 情况 ！
76,2,10,电池 用电 特别 手机 发热 ！ 京东 买 东西 ？
77,3,8,有时候 打电话 声音 特小 ！ ！ ！ ？
78,3,22,京东 外界 说 发票 ！ 包装 手提袋 送人 单调 解决 管理 服务 有待 提高 配套 赠品 一无所有 实体店 礼品 赠送 速寄 发票
79,5,18,老公 礼物 老公 喜欢 一段时间 体验 挺 外形 漂亮 听筒 杂音 售后 说要 返厂 检修 太 麻烦 凑合着
80,5,3,正品 包装 服务态度
81,1,9,一个多月 手机 无限 自动 重启 黑屏 hellip hellip hellip
82,5,15,稍微 闪 退及 卡顿 ！ 总体 满意 ！ 动作 过快 ！ 发热 现象 比较严重 ！
83,1,7,胶 漏出来 品控 苹果 质量 ？ 失望
84,5,15,京东 自营 物流 一如既往 失望 买到 亮 黑色 外观 一体化 线条 流畅 优美 手感 不错
85,2,0,
86,5,7,第二个 京东 电子 产品质量 信得过 值得 信赖
87,5,5,手机 挺 流畅 做工 精致
88,5,32,京东 自营 买 第四 台 苹果 手机 第一部 201 年 苹果 16G 花 3800 去年 秒 两台 32G 苹果 刚买 苹果 7P 好看 银色 系统 11.0 苹果 手机 值得 拥有 一点 不卡
89,3,19,点心 塞 手机 到手 三天 优惠 三百 第一次 买 苹果 手机 发现 毛病 物流 速度 挺快 包装 太过 简单
90,5,13,买 iphone826G 星期 感觉 4S 好几年 系统 更新 卡 只好 换 新款 感觉
91,3,7,通电话 电流 声 偶然 小卡 客服 不理
92,3,15,货是 正品 电池 续航 拍照 特 清晰 手机信号 不好 信号 不好 信号 不好 打电话 听不清
93,5,4,京东 速度 手机 正品
94,5,5,帮别人 买 苹果 手机 一如既往
95,1,9,屏幕 一点 发黄 护眼 关了 黄 手机 7plus 黄
96,1,31,手机 暖屏 厉害 感觉 假 苹果 想要 拍照 好点 手机 难 同事 7p 一年 拍照 成像 新手机 好太多图 图二是 手机 前置 后置 拍 图三图 同事 7p 拍 店里 买 差 太
97,2,73,手机 双 买 5999 买 想 问 收到 货都 发票 发票 第一次 京东 买 东西 第一次 买 苹果 手机 付款 选 普通发票 买 咨询 客服 说 发票 手机 邮 找 半天 打电话 问 客服 说 地区 只能 网上 打印 电子 发票 开 普通发票 真的 太 坑人 手机 14 号 收到 货 点击 确认 收货 订单 确认 收货 评价 这是 情况 京东 系统 确认 收货 问 客服 机器人 回复 气死人 手机 没什么 一段时间 看吧
98,1,10,真心 不好 实在 世纪 最差 购物 无与伦比 恶心 后悔 没药
99,2,29,7P 8P 入手 n 京东 快递 隔天 n 拆封 时 发现 右上角 掉 漆 售后 退 核查 人为 一周 时间 n 办法 急 只能 京东 送点 礼品 估计 平衡点
100,1,40,很无语 iPhone8P 第一次 买 京东 苹果 开了个 口子 退货 折腾 一周 第二次 买 黑 玻璃板 接缝 手摸 台阶 售后 说 ； 我家 买 第三个 8P 京东 死活 京东 买 这下 真的 信 京东 卖 翻修 品 二等品 心力 憔悴 体验
101,1,31,第一 买 几天 降价 600 九折 退 差价 手机 三天 异响 很大 电流 声 第三 包装 拆过 简陋 快递 员 态度 不好 京东 体验 越来越 差 忠实 消费者 完蛋 卸载 京东
102,2,31,买回来 检查 拍照 闪光灯 半个 月 偶然 试 下夜 拍 闪光 微闪 没用 作用 拍 糊 网上 有人 说 是因为 气温 太低 三十度 说 低 手电筒 开 申请 售后 不行 换机
103,5,38,第一次 7p 感觉 不错 128g 内存 强大 够 8p 7p 之间 纠结 买 8p 玻璃 外观 碎 选择 7p 很值 完电 电池 耐用 当天 提示 手机 更新 提示 ios11.2 小白 随便 更新 hellip hellip 求 大神 指导 ！
104,5,5,代表大会 赶紧 放假 放假 放假
105,3,16,一个多月 黑屏 卡死 昨天 莫名 奇妙 发烫 跑电 6s 换 等于 换个 电池 提升 越来越 失望
106,2,14,手机 点 通讯录 里 号码 导入 闪退 ？ 我查 手机 新 几个 感觉 机子
107,1,23,手机 没什么 一星 京东 京东 太 坑人 买 5989 正 一个月 5688 差 三百 冤呀 节前 买 东西 过节 做 活动 越 坑人
108,1,12,物流 包装 差 手机 外观 划痕 手机 玩 卡 系统 流畅 迟钝
109,5,120,Apple 官网 发现 京东 降价 1000 官网 退 （ 直营店 官网 14 天无 理由 退货 ） n 年 IOS 设备 资深 果粉 感觉 苹果 完 苹果 手机 n 先吐糟 摄像头 进灰是 通病 一台 8plus 买 确实 不爽 苹果 可不是 ios11 系统 bug IOS 忍受 一点 新 系统对 旧 设备 负 优化 是从 第一代 苹果 留下来 传统 ios10.2 苹果 电池 状态 不佳 设备 CPU 降频 强 设备 n 话说回来 苹果 比安卓好 天朝 Google 服务 墙 安卓 手机 体验 大打折扣 GooglePlay 商店 只能 捆绑 安装 鱼龙混杂 资源 不全 国产 商店 国外 游戏 大作 连接 谷歌 服务 运行 n 京东 iPhone8 值得 购买 性价比 真的 高 A11 芯片 吊打 打遍天下 无敌手 拍照 一流 水准 屏幕 色彩 表现 首屈一指 分辨率 算不上 顶尖 足够 精细
110,5,12,纠结 下单 上午 下单 下午 六点半 收到 机型 不错 五千块 大洋 ！
111,1,10,买 一个月 不到 降价 京东 价格 浮动 实在 太大 ！
112,1,10,手机 打电话 听 收到 手机 外壳 划伤 摄像头 下方 划伤
113,1,11,满意 生气 到货 两天 降 一百 价保 退货 价格 保护 装饰
114,5,8,京东 6388 买 没用过 苹果 手机 等待 实践
115,1,12,后悔 死 建议 买 深空 灰色 买 金色 银色 ！ 大黑 ！
116,5,11,弄错 密码 400 电话 晚上 九点 下班 急人 恢复 出厂 设置
117,3,24,物流 很快 短短 一段时间 降价 500 有时候 卡卡 不爽 评论 说 清空 质量 差 机子 只能 哄骗 客户 购买 体验 很差 做 消费 群体
118,2,3,后盖 盖 偏
119,5,10,京东 买 两个 苹果 手机 电脑 检查 全新 机 字
120,1,64,愉快 购物 n 苹果 手机 做工 失望 第一次 送来 护镜 溢胶 如图 黑色 第二次 送来 拆机 护膜 灰尘 一张 图 n 苹果 做工 ！ ！ ！ 手机 207 年 39 周产 208 年 周 n 京东 失望 购物 n 换机 号 提出 审核 退机 京东 号 呆 号 晚 ldquo 会员 rdquo 服务 n 唯 感受 京东 物流 快能 掩盖 快能 撑 长远 ？
121,3,12,昨晚 下单 降价 200 ！ ！ 瞬间 无爱 感谢 快递 哥 辛苦
122,5,13,京东 服务 满意 过程 中 顺利 解决 价高 购买 京东 直营 产品 放心
123,3,12,手机 包装盒 外面 塑料 磨碎 手机 啥事 一块 掉 漆 懒 退
124,3,3,一部 新意 手机
125,1,9,拿来 充电器 坏 前置 摄像头 发 绿光 客服 不理
126,1,21,一星 不想 次品 送来 全新 机 原机 塑料膜 灰尘 指纹 侧边 金属 边框 三处 划痕 申请 换货 退 京东 越来越 不像话
127,5,17,双十 京东 自提 当天 到货 感觉 真的 n 购买价 超值 用券 买 便宜 00 n 完美 屏
128,1,13,手机 激活 打开 盒子 仔细 一看 右上角 两道 细微 划痕 这是 原因 ？
129,1,2,卡 流畅
130,5,5,充 电 买 苹果 系统
131,1,12,刚买 降价 客服 ？ 讲讲 hellip hellip 包装 太 简露 品控 不好
132,2,8,一般般 没什么 变化 锁屏 横屏 慢 电池 耐用
133,1,9,一般般 京东 外包装 封条 拿到 手 屏幕 脏 原装
134,5,11,速度 飞快 面部 识别 结婚 周年纪念 送 老婆 希望 喜欢 ！
135,1,39,差评 差评 差评 差评 手机 刚用 20 天 苹果 状态 直营店 面 系统 更新 无效 且主 屏幕 键 裂痕 磕碰 记录 太差 手机 下方 评论 类似 情况 请 谨慎 购买 售后 配合 解决 说 维修 根本无法 接受 远离 京东
136,2,19,接收 信号 差 手机 网络 更差 深圳 3G 网络 打开 网页 转 半天 视频 不用说 特 后悔 买 手机
137,1,38,号 发短信 专属 价 5888 厉害 免息 分 期 ？ 赚钱 ？ 这是 软件 设置 ？ 估计 重置 分 期 真心 恶心 JS 媒体 面前 装 装 公司 老板 价值观 赚钱 耍 心机 厉害 员工 五险 一金 ？
138,1,9,20 天 不到 黑屏 打不开 ！ 质量 差 ！
139,2,10,卡卡 卡比 我用 两年 6S 要卡 质量 渠道 持有 怀疑
140,3,3,京东 东西 贵点
141,5,10,第一次 网上 买 Apple 手机 老婆 一段时间 评价 电池 耐用
142,2,15,买回来 几天 手机 客服 服务态度 想 当差 还给 退钱 京东 自营 店 太 不靠 谱
143,1,27,3.29 收到 用到 4.5 号 手机 发热 电量 43 掉 26 问 客服 申请 维修 说 希望 想 买 朋友 付款 实体店 钱 扔 体验 感觉 糟心
144,3,3,超级 无敌 卡
145,3,4,通话 呲 呲 声
146,1,23,女儿 买 昨晚 摆弄 一点多 睡 早上 听 电话 时 发觉 听筒 声音 太小 音量 调 听 声音 郁闷 ！ ！ ！ 质量
147,5,7,正品 全新 未激活 手感 喜欢 包装 简陋
148,5,4,第次 京东 买手机 价格便宜
149,3,13,说实话 不爽 顿间 缺 信任感 买 十天 手机 降 九百 来块 合适 ？
150,5,9,不错 ！ 愿 京东 越来越 越来越 真 越来越 强大
151,5,4,正品 未激活 物流 超级
152,1,9,通话质量 不好 网速慢 检测 寄 回去 检测 徐伟 天
153,3,16,手机 缝儿 很大 划痕 操作系统 第一天 晚上 第二天 尝试 一遍 不想 麻烦 检测 裸用 套 壳
154,3,7,这买 完 几天 降价 价格 保护 服
155,5,23,手机 实在 实在 承受 安卓 卡顿 现象 苹果 手机 爽 速度 分辨率 高 美中不足 苹果 手机 耳机 插口 手机 续航 能力 强 解决
156,5,14,颜值 不错 第一个 苹果 手机 用不惯 几百块 钱 安卓 手机 感觉 买 打字 不太
157,2,10,手机 包装 太差 贵重 物品 连防 碰撞 东西 垫 裹
158,5,19,女朋友 买 手机 收到 未 开机 外观 亮眼 冲着 外观 买 查 序列号 未激活 京东 性能 待用 一段时间 感觉
159,5,20,京东 包装 到位 手机 包装 正品 苹果 官网 查询 序列号 未 激活状态 系统 流畅 完 一段时间 追加 评价 ！ ！
160,1,9,差评 刚买 天 降价 元 京东 越来越 厚道 失望
161,5,16,物流 力 昨天下午 下单 早上 苹果 款 手机 做 不错 喜欢 懒 配图 后续 带来 惊喜
162,3,5,手机 盒 四个 角 变形
163,5,40,第一个 618 买 回来 发现 屏幕 上端 漏光 选择 换货 售后服务 态度 很快 发了 新机 前提 第一个 激活 三天 暂时 发现 值得 说 售后 收到 新机 两次 电话 回访 服务 周到 快递 盒里 手机 盒 填充 防震 充物 不太 满意
164,5,13,第一次 网上 买手机 京东 买 到手 查 正品 具体情况 测试 完有 时间 评论
165,1,37,急需 手机 网通 没货 买 双 网通 会出 感觉 行 电池 玩游戏 愤怒 问 网通 到货 一问三不知 买好 第三天 货 货 到货 提前 通知 说 一声 ？ 京东 公司 说 到货 到货 一点 提前 告知 消费者 ？
166,5,40,iPhone6S 16G 买 iPhone6Splus 只在乎 大屏幕 内存 电量 iPhone7 买不起 寸 一点 我手 哈哈哈 三星 S8 验 一把 确实 挺 安卓 系统 真 不想 评价 一句 话 买安卓 后悔 买 iPhone 至少 后悔 这台 三星 CPU 电量 6S 真的 满意
167,1,30,双十 买手机 系统 bug 退单 客服 沟通 解决 客服 答应 双 十二 下单 补 400 元 差价 下单 天 客服 没补 差价 不到 京东 企业 几百块 钱 出尔反尔 醉 ！
168,1,10,买 回 几天 下降 几百元 补 差价 差评 差评 差评
169,3,15,托 手机 未激活 备忘录 一条 预存 内容 找 客服 说 让我拿 售后 检测 嫌 麻烦
170,5,5,东西 手机 壳 送 尴尬
171,3,5,还好 左边 下放 一条 缝隙
172,3,61,第一次 中评 星星 手机 物流 手机 新货 瑕疵 11 月 中旬 深圳 生产 这款 好不容易 抢到 订 价 订购 时 回复 降价 肯定 保价 申请 成功 钱 （ 保价 ： 提供 原 订单号 再用 12 免息 卷 下单 提供 新 订单号 ） 降价 显示 无货 无卷 估计 够呛 申请 保价 祝你们 好运 ！ 哈哈哈 坐等 新 一大批 小白羊 咯 ～ ～
173,3,2,发票 寄给
174,5,10,苹果 手机 习惯 只能 京东 品质 ！ 值得 信赖 正品
175,3,24,包装盒 子 四角 受 撞击 凹陷 拆开 封条 盒子 手机 开机 状态 显示 hello 状态 原装 开机 痕迹 ？ ？ ？ 关机 状态 ？
176,5,5,手机 性价比 超高 值得 拥有
177,5,44,多年 安卓 回 ios 吹 黑 ios 给力 安卓 流畅 稳定 苹果 32 内存 够用 64 三星 一年 一半 内存 苹果 7p 优惠 力度 很大 性价比 高太多 果断 入手 丝毫 犹豫 早买 早用 反正 价保双 11 ： 物流 速度 手机 好像 素 好评 ！
178,1,41,差评 手机 收到 账号 提示 要输 密码 这是 情况 新手机 账号 ？ 不说 官网 物流 信息 显示 下午 点 准点 送达 晚上 点送 点 夜班 送货 人员 服务态度 有差 第二天 送达 ！ 送达 客户 说 送达 这是 典型 欺骗 客户 ！
179,3,8,碎 一点 小心 碰到 jian 特别 卡 慎重
180,1,14,价格 跳水 时隔 星期 降价 接近 一千 保价 差评 差评 台机 信号 好差 ？
181,5,86,没用 长辈 买 质量 回头 再评 先吐槽 两点 ： 半天 扔 快递 箱 自取 几百米 距离 大热天 外面 跑 起码 电话 商量一下 验收 踏实 拿到 货物 标签 封在 包装 开口处 咯噔 貌似 包装 胶 化 开 太阳 晒化 得知 倒 看不出 拆开 迹象 回头 激活 瑕疵 希望 规规矩矩 全新 行货 希望 京东 能守 服务质量 风气 不好 快递 送上门 快递 箱 爆满 没得 随意 扔 外面 太阳 晒 淋雨 家常便饭 hellip hellip 事情 开头 不错 时间 越长越 前后一致 服务质量 提升 快递 乱 投递 理解 京东 金字招牌 如此这般
182,5,3,第一次 买 挺不错
183,5,5,正品 一如 即往 喜欢 苹果
184,5,48,一个多月 满意 ！ 棒棒 ！ 内存 足 ！ 系统 棒 ！ 玩游戏 带劲 ！ ！ 买 内存 ！ 这下 随便 ！ 满意 ！ 拿到 手 第一 先 检查 外观 挺 查 序列号 激活 放心 仔仔细细 几遍 激活 日期 ！ 挺 ！ 特别 满意 ！ 银色 确实 挺 好看
185,5,4,商品 收到 孩子 非常高兴
186,1,33,无力 吐槽 月 28 号 活动 立减 689 下单 月 日 到手 一看 商铺 活动 单立 减 000 一口 老血 喷出 ！ 备注 手机 收到 正品 外观 暂未 发现 手机 五星 一星 活动
187,5,12,正品 外面 精美 电池 不错 久 掉电 早上 折腾 久 多电 赞
188,3,12,包装 太差 ！ 泡沫 纸 不放 放在 盒子 里 摔 ？ ？
189,1,6,掉 屏幕 一点 放射 裂纹 保修
190,5,13,苹果 手机 挺 鉴定 正品 ！ 京东 物流 太棒了 速度 很快 服务态度 ！
191,3,25,双十 购买 机子 周五 出差 回来 激活 过程 中 发现 系统 流畅 卡顿 拍摄 视频 录音 电流 声 情况 打电话 苹果 客服 解决 想着 退货
192,5,7,几天 评价 手机 不错 ！ 流畅 ！
193,3,9,京东 快递 挺快 ？ 买 早上 天黑 还行 5788
194,3,8,反正 这辈子 京东 买 东西 再用 京东 白条
195,2,16,买 一个月 降 一千多 mmp ！ 苹果 保值 ？ ？ ？ 老实 说 续航 卡死 发热
196,2,2,外套 撞坏
197,2,10,新机型 上线 通知 购买 激活 第二天 上架 双 网通 版
198,1,65,一星 快递 小哥 买回来 三天 打电话 听 不到 声音 换货 换 七八天 听 不到 声音 打个 电话 说 说 问 听 听 喂喂 挂 说 信号 不好 事 北京 三环 地下 车库 住 筒子楼 连接 Wi Fi iPhone8Plus 电影 视频 专业 修 网络 弄 几个 小时 没用 办法 华为 vivo 情况 希望 买 电子产品 实体店 买 贪图便宜 京东 太 失望 京东 买 东西 iPhone8Plus 情况
199,5,1,一个多月
200,1,27,破 东西 手上 星期 插卡 一查 卡 返厂 检测 花 天 说 手机 维修 邮 回来 维修 回来 nima 别问 问 打开 无线 真 tama 后悔 买
201,3,4,快递 送错 位置 跑
202,2,37,双十 56 七千 八百多 买 送 一百五十 京豆 手机 没到 家 降到 七千四百 售后 保价 一摸 单子 送 一百五十 京豆 算在里面 感觉 坑京豆 明明 送 买 一个月 降到 六千 四百多 送 碎 屏险 感觉 价格 坑 手机
203,1,28,价格 跳水 买 第一个 机子 耳机 充电器 插 久 充电 一连 公共 网 掉 售后 慢 要死 换 新机 耳机 听歌 有时候 电流 声 特别 耳朵 疼 醉醉
