,labels,lenths,contents
0,5,7,买 了 两个 、 正品 。 喜欢
1,5,12,京东 的 快递 就是 快 ， 次日 达 还 真 可以 ！
2,5,14,反应 灵敏 ， 用 了 一段时间 才 来 评价 ， 手机 很 不错 。
3,5,19,"送给 老婆 的 礼物 , 物流 超快 , 手机 是 正品 , 下次 介绍 朋友 购买 这 款 手机"
4,5,6,快递 小哥 服务态度 很 好 谢谢
5,5,44,现在 用 的 还 可以 啊 ， 7.7 买 的 ， 到 现在 没 毛病 ， 不算 是 果粉 ， 就是 手机 坏 了 买来 用 ， 比较 顺手 ， 好评 ， 不 知道 用 着 用 着 怎么样 \ n 先来 个 好评
6,1,10,不太好 ， 我 觉得 没 我 想 的 那样 好
7,5,22,忠实 果粉 ， 一直 从 4 追到 现在 ， 一如既往 的 好 用 ， 不卡 ， 就是 相比 来说 耗电量 太快 。
8,1,25,京东 包装 手机 类产品 就 这么 简陋 吗 ？ 没有 任何 的 防 摔 保护措施 ？ 直接 把 手机 放在 纸盒 里 配送 ？ ！
9,3,32,很 一般 吧 ， 有时候 信号 特别 不好 ， 流畅 度 倒 是 可以 ， 就是 使用 流量 打开 软件 的 ， 网速 特别 的 慢 ， 也 不 知道 为什么 ！
10,1,34,MD 买 完 就 降价 600 多 ， 超 了 一个 星期 就 不 给 保价 了 。 京东 就是 这么 玩 的 吗 ？ 这样 对 消费者 吗 ？ 太坑 了 吧 ！
11,3,8,还 行 正在 使用 。 。 。 。
12,3,45,买 之前 看 了 很多 评价 ， 有好有坏 ， 最后 还是 下定决心 买 了 。 第一次 开机 的 时候 ， 有 几个 软件 出现 闪退 情况 ， 其他 都 正常 。 现在 直接 把 那 几个 软件 卸载 了 。 希望 后面 不会 有 问题
13,5,30,一直 相信 京东 直营店 的 东西 是 正品 ， 第一次 买 苹果 ， 没 让 我 失望 ， 颜色 很正 ， 是 我 喜欢 的 颜色 ， 果粉 跟 到底
14,2,50,刚买 完 没 几天 就 降价 先 降价 100 后面 又 降价 00 也 是 醉 了 还 不能 申请 价格 保护 就 因为 新 订单 提交 晚 了 手机 收到 外观 没什么 问题 但是 新 的 手机 会 闪退 ？ ？ 还会卡 ？ ？ 不 满意 的 一次 购物
15,3,74,19 号 拆 的 机子 ， 21 号 到货 ， 被 京东 翻新 了 ， 还是 说 其他 平台 进货 然后 卖 给 我 赚钱 吗 ， 亏 我 之前 还 到 京东 买 coach ， 买 电脑 ， 我 还 和 别人 说 京东 买 的 不用 担心 ， 朋友 帮 我查 了 序列号 我 才 知道 ， 再见 京东 ， 最后 一次 买 了 ， 剩下 三分 是 给 苹果 的 。
16,3,33,正品 ！ 但是 连个 小 赠品 都 没有 ！ 也 没有 发票 ！ 什么 都 没有 ！ 就 一个 手机 ！ 卖得 还 比 * 贵 一百块 ！ 越来越 不靠 谱 了 ！
17,5,36,不错 啊 ， 就是 亮色 的 太小 指纹 ， 然后 就是 这次 买 的 可以 也 很配 手机 ， 送 的 膜 不行 ！ 希望 改进 一下 ， 送 一些 全屏 的 钢化 膜 ！ ！
18,1,35,假货 ， 反映 很 慢 ， 卡得 很 ， 反正 觉得 自己 买 的 是 假 的 翻新 机 之类 的 ， 果然 是 真假 掺着 卖 ， 不会 相信 京东 了 ， 假货 ！
19,5,11,还好 吧 ， 用 了 这么久 没有 出现 过 别的 不适
20,3,15,手机 还好 \ n 只想 吐 槽 ～ 没有 大 迅雷 怎么 活 ！ ！
21,2,34,卡 的 要死 . 都 是 大王 卡 别人 的 华为 用 流量 看 视频 很 流畅 ？ 老子 的 苹果 卡 的 要死 。 搞 得 老子 都 不好意思 说 这 是 苹果
22,5,12,顺手 好用 好评 谁 用 谁 知道 。 京东 物流 快 ！
23,1,21,* ， 新手机 拿到 手 ， App 下载 微信 ， 居然 不是 获取 ， 而是 一个 小 云彩 加 下 箭头
24,1,87,降价 太快 ， 也 不 保价 ， 手机 还 行 ， 至今 还 未 出现 问题 ， 我 最 担心 的 就是 电池 ， 我 之前 的 6s 买 了 两年 ， 途中 换 过 一次 原装 电池 ， 现在 一天 要充 三次 电 ， 简直 要逆天 ， 不过 手机 确实 不卡 的 严重 ， 无奈 还是 要换 苹果 ， 但愿 这次 电池 耐用 ， 但是 太 不爽 了 降价 了 ， 怎么 降价 降 的 这么 快 ！ 能 不能 让 我 再 美 几天 ！
25,1,22,不 满意 ， 刚买 的 新 机器 ， 充电器 是 坏 的 ， 没法 充电 ， 换 个别 的 就 可以 充电
26,1,14,说心里话 手机 真 差劲 ， 不值 这个 价格 ， 京东 客服 太 差 。
27,1,14,充电器 线用 了 一个多 星期 就 充 不 进去 电 了 烧 黑 了
